600,1.0
1200,1.0
1800,1.0
600,1.0
1200,1.0
1800,1.0
200,1.0
400,1.0
200,1.0
400,1.0
200,1.0
400,1.0
200,1.0
400,1.0
200,-6.634029388427734
200,-0.03585103154182434
400,1.0
11000,1.0
22000,1.0
33000,1.0
44000,1.0
11000,1.0
1024,-6.389000415802002
2048,-5.019298553466797
3072,-6.408729076385498
4096,-5.479309558868408
5120,-5.132055759429932
6144,-4.919604778289795
7168,-6.610418796539307
8192,-6.483565330505371
9216,-5.680095672607422
10240,-6.2300615310668945
11264,-6.010945796966553
12288,-7.413771152496338
13312,-6.630832195281982
14336,-5.847150802612305
15360,-5.9184417724609375
16384,-6.129851341247559
17408,-5.688171863555908
18432,-6.379863739013672
19456,-6.522631645202637
20480,-6.58594274520874
21504,-6.129913330078125
22528,-6.926971435546875
23552,-5.172240734100342
24576,-6.5882463455200195
25600,-6.374115467071533
26624,-7.130764961242676
27648,-7.14463996887207
28672,-5.407101154327393
29696,-5.228147983551025
30720,-5.451255798339844
31744,-6.736267566680908
32768,-5.773416519165039
33792,-5.953368186950684
34816,-4.892955780029297
35840,-5.735396862030029
36864,-6.167442798614502
37888,-5.890719890594482
38912,-7.008846282958984
39936,-6.401051044464111
40960,-6.672477722167969
41984,-6.59548282623291
43008,-6.814694404602051
44032,-5.484572410583496
45056,-6.011597156524658
46080,-4.710533142089844
47104,-5.026700019836426
48128,-6.364637851715088
49152,-7.098882675170898
50176,-6.57340145111084
51200,-5.840396404266357
52224,-7.2628936767578125
53248,-5.523764133453369
54272,-7.140463352203369
55296,-7.299324035644531
56320,-7.2387166023254395
57344,-6.027334690093994
58368,-6.89295768737793
59392,-7.188283443450928
60416,-6.216879844665527
61440,-5.804826259613037
62464,-6.02250862121582
63488,-6.599109172821045
64512,-5.031259536743164
65536,-5.005294322967529
66560,-5.898331165313721
67584,-5.950191497802734
68608,-5.4074482917785645
69632,-6.041403293609619
70656,-5.941115379333496
71680,-5.507629871368408
72704,-5.791356086730957
73728,-6.125718116760254
74752,-6.6483988761901855
75776,-6.501929759979248
76800,-5.53595495223999
77824,-5.629723072052002
78848,-6.381152153015137
79872,-5.26772403717041
80896,-5.772387981414795
81920,-6.305649757385254
82944,-5.378938674926758
83968,-5.896171569824219
84992,-5.928196430206299
86016,-5.72678279876709
87040,-5.76134729385376
88064,-5.359180927276611
89088,-5.9816060066223145
90112,-6.910343647003174
91136,-5.630702972412109
92160,-5.762241363525391
93184,-6.496794700622559
94208,-5.531627178192139
95232,-6.787206172943115
96256,-5.695509910583496
97280,-6.119182109832764
98304,-5.211622714996338
99328,-6.1840667724609375
100352,-5.724391937255859
